ad_id,advertiser_id,ad_url,ad_type,regions,start_date,end_date,ad_campaigns_list
CR250940164417781760,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR250940164417781760,Video,US,2019-06-23,2019-06-25,CA160445959405305856
CR260435271957348352,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR260435271957348352,Video,US,2019-01-10,2019-03-11,CA289708669535256576
CR264310225811537920,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR264310225811537920,Video,US,2019-06-23,2019-06-25,CA206044905632432128
CR301050956609486848,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR301050956609486848,Text,US,2019-05-10,2019-07-15,CA286311178605428736
CR310079046585155584,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR310079046585155584,Text,US,2019-05-31,2019-06-11,CA308249459236536320
CR33566440728559616,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR33566440728559616,Video,US,2019-01-10,2019-03-11,CA289708669535256576
CR363952367567110144,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR363952367567110144,Video,US,2019-06-23,2019-06-25,CA465001884206235648
CR382107503564947456,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR382107503564947456,Video,US,2019-06-23,2019-06-25,CA154816459871092736
CR38708031977947136,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR38708031977947136,Video,US,2019-06-23,2019-06-25,CA434039636768063488
CR397834643010748416,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR397834643010748416,Video,US,2019-02-12,2019-03-11,CA339850797808353280
CR413489489567023104,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR413489489567023104,Video,US,2019-02-19,2019-03-11,CA501417434440269824
CR416817161508487168,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR416817161508487168,Video,US,2018-11-01,2018-11-06,CA103465143685349376
CR440220816261513216,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR440220816261513216,Text,US,2019-03-04,2019-03-05,CA291250184837398528
CR453425950911102976,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR453425950911102976,Video,US,2019-02-12,2019-03-11,CA339850797808353280
CR456273686027042816,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR456273686027042816,Video,US,2019-02-19,2019-03-11,CA420313058729000960
CR471759207792640000,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR471759207792640000,Video,US,2019-02-25,2019-03-07,CA251984425586262016
CR483438495180783616,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR483438495180783616,Video,US,2019-06-23,2019-06-25,CA37722869559459840
CR510849320061239296,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR510849320061239296,Image,US,2019-07-19,2019-07-30,CA217552394328735744
CR515668204647874560,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR515668204647874560,Video,US,2019-03-26,2019-03-27,CA220387759938863104
CR52533566063509504,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR52533566063509504,Video,US,2018-11-01,2018-11-06,CA73276952433131520
CR537901429273133056,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR537901429273133056,Video,US,2019-02-19,2019-03-11,CA289708669535256576
CR57360147231539200,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR57360147231539200,Text,US,2019-06-11,2019-07-15,CA184400469483847680
CR71801132950749184,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR71801132950749184,Image,US,2019-07-19,2019-07-30,CA151124299825020928
CR82474916955291648,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR82474916955291648,Video,US,2019-02-19,2019-03-11,CA501417434440269824
CR84168164862066688,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR84168164862066688,Video,US,2019-02-25,2019-03-08,CA251984425586262016
CR103257335987699712,AR10924747533582336,https://transparencyreport.google.com/political-ads/library/advertiser/AR10924747533582336/creative/CR103257335987699712,Text,US,2018-08-03,2018-08-31,CA461293506363654144
CR244056396994183168,AR10924747533582336,https://transparencyreport.google.com/political-ads/library/advertiser/AR10924747533582336/creative/CR244056396994183168,Text,US,2018-05-31,2018-08-01,CA312806660055760896
CR454147780294737920,AR10924747533582336,https://transparencyreport.google.com/political-ads/library/advertiser/AR10924747533582336/creative/CR454147780294737920,Image,US,2018-10-30,2018-11-05,CA252159797690892288
CR58489620551172096,AR10924747533582336,https://transparencyreport.google.com/political-ads/library/advertiser/AR10924747533582336/creative/CR58489620551172096,Text,US,2018-09-06,2018-09-12,CA323216836147544064
CR74111481758613504,AR10924747533582336,https://transparencyreport.google.com/political-ads/library/advertiser/AR10924747533582336/creative/CR74111481758613504,Text,US,2018-09-08,2018-11-02,CA125058452543242240
CR11736187114881024,AR112255739149418496,https://transparencyreport.google.com/political-ads/library/advertiser/AR112255739149418496/creative/CR11736187114881024,Text,US,2018-09-24,2018-10-04,CA564480473607176192
CR373431532188073984,AR113155139660939264,https://transparencyreport.google.com/political-ads/library/advertiser/AR113155139660939264/creative/CR373431532188073984,Text,US,2018-09-25,2018-11-06,CA184931258722156544
CR391141091098755072,AR113835462480625664,https://transparencyreport.google.com/political-ads/library/advertiser/AR113835462480625664/creative/CR391141091098755072,Text,"EU, GR",2019-06-26,2019-07-06,CA136494198105833472
CR301308242330386432,AR114793686864232448,https://transparencyreport.google.com/political-ads/library/advertiser/AR114793686864232448/creative/CR301308242330386432,Image,"EU, SK",2019-05-14,2019-05-22,CA502105453841350656
CR511219855479799808,AR114793686864232448,https://transparencyreport.google.com/political-ads/library/advertiser/AR114793686864232448/creative/CR511219855479799808,Video,"EU, SK",2019-09-10,2019-09-13,CA369831456240828416
CR112007524399448064,AR116025139887341568,https://transparencyreport.google.com/political-ads/library/advertiser/AR116025139887341568/creative/CR112007524399448064,Image,"EU, RO",2019-05-14,2019-05-24,CA480959646215962624
CR249254063336587264,AR116025139887341568,https://transparencyreport.google.com/political-ads/library/advertiser/AR116025139887341568/creative/CR249254063336587264,Image,"EU, RO",2019-05-21,2019-05-22,CA472995883495981056
CR317124717095944192,AR116025139887341568,https://transparencyreport.google.com/political-ads/library/advertiser/AR116025139887341568/creative/CR317124717095944192,Image,"EU, RO",2019-05-14,2019-05-24,CA367243755624857600
CR371580229484806144,AR116025139887341568,https://transparencyreport.google.com/political-ads/library/advertiser/AR116025139887341568/creative/CR371580229484806144,Text,"EU, GB, RO",2019-05-18,2019-05-23,CA228054379641438208
CR524325484327075840,AR116025139887341568,https://transparencyreport.google.com/political-ads/library/advertiser/AR116025139887341568/creative/CR524325484327075840,Image,"EU, RO",2019-05-21,2019-05-22,CA472995883495981056
CR92908732547072000,AR116759338776788992,https://transparencyreport.google.com/political-ads/library/advertiser/AR116759338776788992/creative/CR92908732547072000,Text,US,2018-08-28,2018-11-05,CA168062551328817152
CR44746274959785984,AR120814887415840768,https://transparencyreport.google.com/political-ads/library/advertiser/AR120814887415840768/creative/CR44746274959785984,Text,US,2019-02-09,2019-02-15,CA97030251883790336
CR143944214017736704,AR120847323008860160,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR143944214017736704,Image,US,2019-02-13,2019-03-04,CA48805671889534976
CR260334116887592960,AR120847323008860160,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR260334116887592960,Text,US,2019-02-13,2019-03-04,CA15591624637677568
CR403989296786178048,AR120847323008860160,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR403989296786178048,Image,US,2019-09-26,2019-10-20,CA61606736015917056
CR412105204427653120,AR120847323008860160,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR412105204427653120,Image,US,2019-04-22,2019-04-23,CA508244302137131008
CR466885622502522880,AR120847323008860160,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR466885622502522880,Image,US,2018-10-12,2018-10-21,CA95936787569967104
CR477898330966327296,AR120847323008860160,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR477898330966327296,Image,US,2018-09-18,2018-10-11,CA185832858256932864
CR483421315311599616,AR120847323008860160,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR483421315311599616,Image,US,2019-10-14,2019-10-17,CA404403125475082240
CR505439447974674432,AR120847323008860160,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR505439447974674432,Image,US,2018-10-25,2019-04-22,CA404403125475082240
CR51147081900883968,AR120847323008860160,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR51147081900883968,Image,US,2018-10-12,2018-10-22,CA8116594836242432
CR518202578949898240,AR120847323008860160,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR518202578949898240,Image,US,2019-03-05,2019-03-21,CA237769939262373888
CR94601430698033152,AR120847323008860160,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR94601430698033152,Image,US,2019-04-24,2019-07-15,CA423733639403012096
CR395165578534322176,AR123635684496900096,https://transparencyreport.google.com/political-ads/library/advertiser/AR123635684496900096/creative/CR395165578534322176,Image,US,2018-10-24,2018-10-28,CA510781425218224128
CR270724226892169216,AR128018337845215232,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR270724226892169216,Image,US,2019-05-15,2019-06-05,CA354436644184522752
CR539154597650890752,AR128018337845215232,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR539154597650890752,Image,US,2019-05-15,2019-05-21,CA372169567717294080
CR417570326973513728,AR131024127757647872,https://transparencyreport.google.com/political-ads/library/advertiser/AR131024127757647872/creative/CR417570326973513728,Text,US,2018-09-17,2018-11-06,CA548878403609034752
CR528845301750956032,AR131396037565743104,https://transparencyreport.google.com/political-ads/library/advertiser/AR131396037565743104/creative/CR528845301750956032,Text,US,2018-10-11,2018-10-15,CA171196159467978752
CR446287371667767296,AR13176547347267584,https://transparencyreport.google.com/political-ads/library/advertiser/AR13176547347267584/creative/CR446287371667767296,Text,US,2018-08-06,2018-08-07,CA548744263190446080
CR405631279963308032,AR132631338879549440,https://transparencyreport.google.com/political-ads/library/advertiser/AR132631338879549440/creative/CR405631279963308032,Image,"EU, LT",2019-03-21,2019-04-11,CA155290074504757248
CR458221745753554944,AR132631338879549440,https://transparencyreport.google.com/political-ads/library/advertiser/AR132631338879549440/creative/CR458221745753554944,Image,"EU, LT",2019-05-14,2019-05-24,CA150930236022718464
CR533390820259135488,AR134039538396823552,https://transparencyreport.google.com/political-ads/library/advertiser/AR134039538396823552/creative/CR533390820259135488,Image,"DE, EU",2019-09-27,2019-09-29,CA386355329299906560
CR493203532824969216,AR134358121890971648,https://transparencyreport.google.com/political-ads/library/advertiser/AR134358121890971648/creative/CR493203532824969216,Video,US,2018-10-12,2018-10-18,CA416818261020114944
CR324918330391527424,AR135010682042056704,https://transparencyreport.google.com/political-ads/library/advertiser/AR135010682042056704/creative/CR324918330391527424,Image,"EU, LT, PL",2019-04-26,2019-05-10,CA536886580040695808
CR437887102831558656,AR139277336913641472,https://transparencyreport.google.com/political-ads/library/advertiser/AR139277336913641472/creative/CR437887102831558656,Video,US,2018-07-27,2018-08-07,CA366673933723762688
CR141946401390067712,AR140403236820484096,https://transparencyreport.google.com/political-ads/library/advertiser/AR140403236820484096/creative/CR141946401390067712,Video,US,2019-04-18,2019-04-22,CA189630021663457280
CR245602585220743168,AR140403236820484096,https://transparencyreport.google.com/political-ads/library/advertiser/AR140403236820484096/creative/CR245602585220743168,Text,US,2019-05-14,2019-06-04,CA10968727998693376
CR281352656042065920,AR140403236820484096,https://transparencyreport.google.com/political-ads/library/advertiser/AR140403236820484096/creative/CR281352656042065920,Text,US,2019-06-04,2019-07-08,CA82744847059910656
CR304975938242740224,AR140403236820484096,https://transparencyreport.google.com/political-ads/library/advertiser/AR140403236820484096/creative/CR304975938242740224,Video,US,2018-10-18,2018-12-12,CA489194713430097920
CR335254839204249600,AR140403236820484096,https://transparencyreport.google.com/political-ads/library/advertiser/AR140403236820484096/creative/CR335254839204249600,Video,US,2019-01-17,2019-01-29,CA44195969390084096
CR351302761167454208,AR140403236820484096,https://transparencyreport.google.com/political-ads/library/advertiser/AR140403236820484096/creative/CR351302761167454208,Video,US,2018-08-09,2019-02-26,CA542969628121366528
CR376748209013260288,AR140403236820484096,https://transparencyreport.google.com/political-ads/library/advertiser/AR140403236820484096/creative/CR376748209013260288,Video,US,2019-02-27,2019-03-01,CA262539737212911616
CR503577150155128832,AR140403236820484096,https://transparencyreport.google.com/political-ads/library/advertiser/AR140403236820484096/creative/CR503577150155128832,Video,US,2019-06-04,2019-06-20,CA328889766391054336
CR516101961985032192,AR140403236820484096,https://transparencyreport.google.com/political-ads/library/advertiser/AR140403236820484096/creative/CR516101961985032192,Text,US,2018-07-17,2018-07-24,CA7687785301409792
CR516363645752442880,AR140403236820484096,https://transparencyreport.google.com/political-ads/library/advertiser/AR140403236820484096/creative/CR516363645752442880,Video,US,2018-10-18,2018-11-27,CA472453549385580544
CR251929037688012800,AR140614480491970560,https://transparencyreport.google.com/political-ads/library/advertiser/AR140614480491970560/creative/CR251929037688012800,Text,US,2019-09-16,2019-10-20,CA499424707053879296
CR123802810264322048,AR14302447254110208,https://transparencyreport.google.com/political-ads/library/advertiser/AR14302447254110208/creative/CR123802810264322048,Video,US,2018-10-12,2018-10-17,CA294798858616045568
CR204911584022102016,AR14302447254110208,https://transparencyreport.google.com/political-ads/library/advertiser/AR14302447254110208/creative/CR204911584022102016,Video,US,2018-10-09,2018-10-10,CA518435125659172864
CR318788003310862336,AR14302447254110208,https://transparencyreport.google.com/political-ads/library/advertiser/AR14302447254110208/creative/CR318788003310862336,Text,US,2018-06-08,2018-11-06,CA294792261546278912
CR135985124222173184,AR143958782546804736,https://transparencyreport.google.com/political-ads/library/advertiser/AR143958782546804736/creative/CR135985124222173184,Video,US,2019-08-27,2019-08-27,CA187301530913734656
CR55252933196906496,AR145115193901318144,https://transparencyreport.google.com/political-ads/library/advertiser/AR145115193901318144/creative/CR55252933196906496,Image,"ES, EU",2019-05-10,2019-05-24,CA123413858025996288
CR547130180120870912,AR14605912463376384,https://transparencyreport.google.com/political-ads/library/advertiser/AR14605912463376384/creative/CR547130180120870912,Image,US,2018-09-05,2018-10-07,CA171501823700500480
CR285615737500860416,AR148284536168382464,https://transparencyreport.google.com/political-ads/library/advertiser/AR148284536168382464/creative/CR285615737500860416,Image,US,2018-10-09,2018-11-04,CA265666198526492672
CR106780995876814848,AR149173766197346304,https://transparencyreport.google.com/political-ads/library/advertiser/AR149173766197346304/creative/CR106780995876814848,Video,"EU, GR",2019-06-30,2019-07-03,CA347037480685404160
CR199943715609903104,AR150822483883196416,https://transparencyreport.google.com/political-ads/library/advertiser/AR150822483883196416/creative/CR199943715609903104,Text,"DE, EU, FR, GB, IT",2019-09-12,2019-09-25,CA281166838576971776
CR550123325649584128,AR150822483883196416,https://transparencyreport.google.com/political-ads/library/advertiser/AR150822483883196416/creative/CR550123325649584128,Image,"EU, RO",2019-05-03,2019-05-24,CA28488621153583104
CR245962950156746752,AR156165835516280832,https://transparencyreport.google.com/political-ads/library/advertiser/AR156165835516280832/creative/CR245962950156746752,Image,US,2018-10-10,2018-10-23,CA158571566957854720
CR286123711872892928,AR156165835516280832,https://transparencyreport.google.com/political-ads/library/advertiser/AR156165835516280832/creative/CR286123711872892928,Text,US,2018-08-15,2018-09-25,CA289910429918953472
CR374139617676361728,AR156165835516280832,https://transparencyreport.google.com/political-ads/library/advertiser/AR156165835516280832/creative/CR374139617676361728,Image,US,2018-10-10,2018-10-23,CA158571566957854720
CR85402366664245248,AR156165835516280832,https://transparencyreport.google.com/political-ads/library/advertiser/AR156165835516280832/creative/CR85402366664245248,Text,US,2018-10-15,2018-10-25,CA420568695182458880
CR128431754217259008,AR157291735423123456,https://transparencyreport.google.com/political-ads/library/advertiser/AR157291735423123456/creative/CR128431754217259008,Image,US,2018-08-07,2018-08-13,CA146173473843052544
CR135653346588491776,AR157291735423123456,https://transparencyreport.google.com/political-ads/library/advertiser/AR157291735423123456/creative/CR135653346588491776,Image,US,2018-08-02,2018-08-05,CA146173473843052544
CR16776073538699264,AR157291735423123456,https://transparencyreport.google.com/political-ads/library/advertiser/AR157291735423123456/creative/CR16776073538699264,Image,US,2019-08-12,2019-10-20,CA533001180826042368
CR173059831677059072,AR157291735423123456,https://transparencyreport.google.com/political-ads/library/advertiser/AR157291735423123456/creative/CR173059831677059072,Video,US,2018-10-30,2018-11-05,CA85381475943317504
CR200295559330791424,AR157291735423123456,https://transparencyreport.google.com/political-ads/library/advertiser/AR157291735423123456/creative/CR200295559330791424,Image,US,2019-08-20,2019-10-20,CA311304177416404992
CR219330304630849536,AR157291735423123456,https://transparencyreport.google.com/political-ads/library/advertiser/AR157291735423123456/creative/CR219330304630849536,Image,US,2019-09-06,2019-09-17,CA462069486694957056
CR278339169548238848,AR157291735423123456,https://transparencyreport.google.com/political-ads/library/advertiser/AR157291735423123456/creative/CR278339169548238848,Video,US,2018-09-14,2018-09-25,CA34018889763389440
CR284274058437066752,AR157291735423123456,https://transparencyreport.google.com/political-ads/library/advertiser/AR157291735423123456/creative/CR284274058437066752,Video,US,2019-08-07,2019-10-02,CA479533854512644096
CR306320366085603328,AR157291735423123456,https://transparencyreport.google.com/political-ads/library/advertiser/AR157291735423123456/creative/CR306320366085603328,Image,US,2018-12-29,2018-12-31,CA146173473843052544
CR321363059543113728,AR157291735423123456,https://transparencyreport.google.com/political-ads/library/advertiser/AR157291735423123456/creative/CR321363059543113728,Video,US,2018-10-12,2018-10-17,CA213030377881600000
CR390323329325596672,AR157291735423123456,https://transparencyreport.google.com/political-ads/library/advertiser/AR157291735423123456/creative/CR390323329325596672,Video,US,2018-10-30,2018-11-05,CA434551184552886272
CR479270521477791744,AR157291735423123456,https://transparencyreport.google.com/political-ads/library/advertiser/AR157291735423123456/creative/CR479270521477791744,Video,US,2018-10-11,2018-10-15,CA454120292504043520
CR531553398890168320,AR157291735423123456,https://transparencyreport.google.com/political-ads/library/advertiser/AR157291735423123456/creative/CR531553398890168320,Text,US,2018-10-31,2018-11-06,CA100298550197354496
CR574270250262986752,AR157291735423123456,https://transparencyreport.google.com/political-ads/library/advertiser/AR157291735423123456/creative/CR574270250262986752,Image,US,2019-08-20,2019-10-20,CA533001180826042368
CR249188367516827648,AR159365964108922880,https://transparencyreport.google.com/political-ads/library/advertiser/AR159365964108922880/creative/CR249188367516827648,Video,US,2019-04-21,2019-04-22,CA227066193565974528
CR287328776616935424,AR161795335050493952,https://transparencyreport.google.com/political-ads/library/advertiser/AR161795335050493952/creative/CR287328776616935424,Text,US,2018-06-20,2018-06-26,CA150545132075089920
CR325125588333363200,AR161795335050493952,https://transparencyreport.google.com/political-ads/library/advertiser/AR161795335050493952/creative/CR325125588333363200,Text,US,2018-08-31,2018-10-01,CA553120319468994560
CR367412805537628160,AR161795335050493952,https://transparencyreport.google.com/political-ads/library/advertiser/AR161795335050493952/creative/CR367412805537628160,Text,US,2018-05-31,2018-06-26,CA513639055938813952
