ad_id,advertiser_id,ad_url,ad_type,regions,start_date,end_date,ad_campaigns_list,num_of_days,impressions,spend_range_min_usd,spend_range_max_usd
CR153272058350927872,AR436726155991580672,https://transparencyreport.google.com/political-ads/library/advertiser/AR436726155991580672/creative/CR153272058350927872,Text,US,2018-11-13,2019-10-20,CA28798545993662464,322,100k-1M,50000,100000
CR268703324520316928,AR456734381399080960,https://transparencyreport.google.com/political-ads/library/advertiser/AR456734381399080960/creative/CR268703324520316928,Text,"DE, EU",2019-05-02,2019-05-26,CA243370576616357888,21,1M-10M,50000,100000
CR404402575719268352,AR462410610177474560,https://transparencyreport.google.com/political-ads/library/advertiser/AR462410610177474560/creative/CR404402575719268352,Video,US,2018-10-09,2018-10-30,CA558123097375375360,22,1M-10M,1000,50000
CR234950241692942336,AR488306308034854912,https://transparencyreport.google.com/political-ads/library/advertiser/AR488306308034854912/creative/CR234950241692942336,Image,US,2018-10-10,2019-05-11,CA474087423664455680,189,> 10M,50000,100000
CR394309196415238144,AR75218140211970048,https://transparencyreport.google.com/political-ads/library/advertiser/AR75218140211970048/creative/CR394309196415238144,Text,US,2019-10-02,2019-10-20,CA491652671673991168,19,100k-1M,1000,50000
CR562348245683011584,AR75218140211970048,https://transparencyreport.google.com/political-ads/library/advertiser/AR75218140211970048/creative/CR562348245683011584,Text,US,2019-04-14,2019-10-02,CA491652671673991168,171,100k-1M,50000,100000
CR253450624341901312,AR100996740080992256,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR253450624341901312,Image,US,2018-07-31,2018-11-07,CA409739605160493056,94,100k-1M,100,1000
CR299612520522448896,AR100996740080992256,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR299612520522448896,Image,US,2018-07-31,2018-11-07,CA59795840364969984,95,100k-1M,100,1000
CR118106377959768064,AR101121809528651776,https://transparencyreport.google.com/political-ads/library/advertiser/AR101121809528651776/creative/CR118106377959768064,Video,US,2019-10-11,2019-10-19,CA7756092461285376,9,10k-100k,100,1000
CR12447708577005568,AR101121809528651776,https://transparencyreport.google.com/political-ads/library/advertiser/AR101121809528651776/creative/CR12447708577005568,Image,US,2019-10-11,2019-10-21,CA409520939785519104,11,10k-100k,100,1000
CR14061791646580736,AR101121809528651776,https://transparencyreport.google.com/political-ads/library/advertiser/AR101121809528651776/creative/CR14061791646580736,Video,US,2019-10-16,2019-10-20,CA385595566765113344,5,10k-100k,100,1000
CR174037434953105408,AR101121809528651776,https://transparencyreport.google.com/political-ads/library/advertiser/AR101121809528651776/creative/CR174037434953105408,Video,US,2019-10-04,2019-10-08,CA7756092461285376,5,10k-100k,100,1000
CR194065039253045248,AR101121809528651776,https://transparencyreport.google.com/political-ads/library/advertiser/AR101121809528651776/creative/CR194065039253045248,Video,US,2019-10-16,2019-10-19,CA7756092461285376,4,≤ 10k,0,100
CR370378325836693504,AR101121809528651776,https://transparencyreport.google.com/political-ads/library/advertiser/AR101121809528651776/creative/CR370378325836693504,Image,US,2019-10-11,2019-10-21,CA409520939785519104,11,10k-100k,100,1000
CR395138228182581248,AR101121809528651776,https://transparencyreport.google.com/political-ads/library/advertiser/AR101121809528651776/creative/CR395138228182581248,Video,US,2019-09-22,2019-09-29,CA165876859651751936,8,10k-100k,100,1000
CR88692242893504512,AR101121809528651776,https://transparencyreport.google.com/political-ads/library/advertiser/AR101121809528651776/creative/CR88692242893504512,Image,US,2019-10-11,2019-10-21,CA209955181297664000,11,≤ 10k,0,100
CR97512937488384000,AR101183107301900288,https://transparencyreport.google.com/political-ads/library/advertiser/AR101183107301900288/creative/CR97512937488384000,Video,"EU, GB, IE",2019-04-29,2019-05-21,CA441475359028805632,21,≤ 10k,100,1000
CR92740782145929216,AR102122639987834880,https://transparencyreport.google.com/political-ads/library/advertiser/AR102122639987834880/creative/CR92740782145929216,Image,US,2019-05-23,2019-07-26,"CA49164937313910784, CA109861827457843200",5,≤ 10k,100,1000
CR268076053136670720,AR103378007388848128,https://transparencyreport.google.com/political-ads/library/advertiser/AR103378007388848128/creative/CR268076053136670720,Text,US,2019-08-23,2019-10-20,CA48068174465204224,59,≤ 10k,0,100
CR276101663385714688,AR104374439801520128,https://transparencyreport.google.com/political-ads/library/advertiser/AR104374439801520128/creative/CR276101663385714688,Text,US,2018-08-01,2019-01-14,CA152401107702775808,150,≤ 10k,100,1000
CR407980386556051456,AR104374439801520128,https://transparencyreport.google.com/political-ads/library/advertiser/AR104374439801520128/creative/CR407980386556051456,Text,US,2018-08-01,2019-01-13,CA152401107702775808,151,≤ 10k,100,1000
CR102989604906336256,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR102989604906336256,Video,US,2019-02-12,2019-03-11,CA501417434440269824,27,10k-100k,100,1000
CR119772825270616064,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR119772825270616064,Video,US,2019-06-23,2019-06-25,CA86136565553692672,3,≤ 10k,100,1000
CR12213924917149696,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR12213924917149696,Video,US,2019-02-12,2019-03-11,CA339850797808353280,27,10k-100k,0,100
CR141337546826186752,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR141337546826186752,Image,US,2019-07-30,2019-09-04,CA406662896748068864,19,10k-100k,100,1000
CR144163841465384960,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR144163841465384960,Text,US,2019-05-10,2019-05-20,CA456194521189842944,11,≤ 10k,100,1000
CR194856275308183552,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR194856275308183552,Video,US,2019-06-23,2019-06-25,CA37722869559459840,3,10k-100k,100,1000
CR209810458079657984,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR209810458079657984,Text,US,2019-04-03,2019-05-06,CA454681043434209280,34,≤ 10k,100,1000
CR239120139541282816,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR239120139541282816,Video,US,2019-01-30,2019-02-02,CA420313058729000960,4,10k-100k,0,100
CR241872217145606144,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR241872217145606144,Video,US,2019-04-12,2019-05-09,CA479765851466104832,18,10k-100k,100,1000
CR243721045947711488,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR243721045947711488,Text,US,2018-12-22,2019-05-06,CA409228332253577216,123,≤ 10k,100,1000
CR253611702795370496,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR253611702795370496,Video,US,2019-02-19,2019-03-11,CA339850797808353280,20,≤ 10k,0,100
CR262058425997852672,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR262058425997852672,Text,US,2019-06-17,2019-07-14,CA184400469483847680,28,≤ 10k,0,100
CR312066138974453760,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR312066138974453760,Video,US,2019-03-12,2019-04-11,CA479765851466104832,29,≤ 10k,0,100
CR325562919083311104,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR325562919083311104,Video,US,2019-07-30,2019-08-06,CA109425321341616128,7,≤ 10k,100,1000
CR333341963849826304,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR333341963849826304,Video,US,2019-06-23,2019-06-25,CA428410137233850368,3,10k-100k,100,1000
CR345902509807632384,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR345902509807632384,Video,US,2019-02-12,2019-03-11,CA501417434440269824,27,10k-100k,100,1000
CR37979880402452480,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR37979880402452480,Video,US,2019-03-12,2019-03-29,CA479765851466104832,16,10k-100k,100,1000
CR403921814260023296,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR403921814260023296,Video,US,2019-06-23,2019-06-25,CA154816459871092736,3,10k-100k,100,1000
CR404585369527386112,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR404585369527386112,Text,US,2019-04-29,2019-05-10,CA210719479317921792,12,≤ 10k,0,100
CR420504373752233984,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR420504373752233984,Image,US,2019-03-12,2019-03-13,CA270548579909632000,2,10k-100k,0,100
CR426505508216635392,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR426505508216635392,Video,US,2019-01-10,2019-03-11,CA289708669535256576,57,10k-100k,100,1000
CR427002762350297088,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR427002762350297088,Video,US,2019-06-23,2019-06-25,CA39974669373145088,3,10k-100k,100,1000
CR432287015233388544,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR432287015233388544,Image,US,2019-07-10,2019-07-11,CA515885083316453376,2,10k-100k,100,1000
CR464880937927180288,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR464880937927180288,Image,US,2019-07-19,2019-07-30,CA375178381286703104,12,10k-100k,100,1000
CR465501062485245952,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR465501062485245952,Image,US,2019-07-10,2019-07-11,CA501952071969275904,2,10k-100k,100,1000
CR469364746345250816,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR469364746345250816,Video,US,2019-06-23,2019-06-25,CA434039636768063488,3,≤ 10k,100,1000
CR512535696020340736,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR512535696020340736,Video,US,2019-02-12,2019-03-11,CA501417434440269824,27,10k-100k,100,1000
CR518879878112608256,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR518879878112608256,Video,US,2019-03-12,2019-04-11,CA420313058729000960,28,10k-100k,100,1000
CR521457408246022144,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR521457408246022144,Image,US,2019-07-19,2019-07-19,CA375178381286703104,1,10k-100k,0,100
CR533618006849224704,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR533618006849224704,Image,US,2019-07-10,2019-07-11,CA223854794979147776,2,10k-100k,100,1000
CR538996817732304896,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR538996817732304896,Text,US,2019-07-15,2019-09-20,CA143210015128289280,68,≤ 10k,100,1000
CR63301633190133760,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR63301633190133760,Video,US,2019-02-12,2019-03-11,CA339850797808353280,27,10k-100k,100,1000
CR82474916955291648,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR82474916955291648,Video,US,2019-02-19,2019-03-11,CA501417434440269824,20,10k-100k,100,1000
CR89522511611428864,AR105500339708362752,https://transparencyreport.google.com/political-ads/library/advertiser/AR105500339708362752/creative/CR89522511611428864,Text,US,2019-05-10,2019-07-15,CA286311178605428736,65,10k-100k,100,1000
CR211394854335283200,AR10924747533582336,https://transparencyreport.google.com/political-ads/library/advertiser/AR10924747533582336/creative/CR211394854335283200,Video,US,2018-10-23,2018-10-30,CA337975030971367424,8,≤ 10k,100,1000
CR393867055301918720,AR10924747533582336,https://transparencyreport.google.com/political-ads/library/advertiser/AR10924747533582336/creative/CR393867055301918720,Text,US,2018-05-31,2018-07-11,CA390770830558101504,42,≤ 10k,0,100
CR535640833366425600,AR10924747533582336,https://transparencyreport.google.com/political-ads/library/advertiser/AR10924747533582336/creative/CR535640833366425600,Text,US,2018-11-05,2018-11-06,CA513615416438816768,2,≤ 10k,100,1000
CR558172025642811392,AR10924747533582336,https://transparencyreport.google.com/political-ads/library/advertiser/AR10924747533582336/creative/CR558172025642811392,Text,US,2018-11-05,2018-11-06,CA42567042913533952,2,≤ 10k,100,1000
CR87184675012870144,AR10924747533582336,https://transparencyreport.google.com/political-ads/library/advertiser/AR10924747533582336/creative/CR87184675012870144,Text,US,2018-10-18,2018-10-21,CA57559433714073600,4,≤ 10k,100,1000
CR13538286672805888,AR111332149382086656,https://transparencyreport.google.com/political-ads/library/advertiser/AR111332149382086656/creative/CR13538286672805888,Text,US,2018-09-13,2018-11-06,CA461664041782214656,55,≤ 10k,100,1000
CR138222630384697344,AR112555630945894400,https://transparencyreport.google.com/political-ads/library/advertiser/AR112555630945894400/creative/CR138222630384697344,Text,US,2019-06-03,2019-06-12,CA185791901448798208,10,≤ 10k,0,100
CR19381366340714496,AR114793686864232448,https://transparencyreport.google.com/political-ads/library/advertiser/AR114793686864232448/creative/CR19381366340714496,Video,"EU, SK",2019-05-21,2019-05-22,CA384132254227496960,2,10k-100k,100,1000
CR306411625550708736,AR114793686864232448,https://transparencyreport.google.com/political-ads/library/advertiser/AR114793686864232448/creative/CR306411625550708736,Video,"EU, SK",2019-09-06,2019-09-10,CA571086064588947456,5,10k-100k,100,1000
CR338858213686378496,AR114793686864232448,https://transparencyreport.google.com/political-ads/library/advertiser/AR114793686864232448/creative/CR338858213686378496,Image,"EU, SK",2019-08-30,2019-10-10,CA153524533708455936,11,100k-1M,100,1000
CR365722031532015616,AR114793686864232448,https://transparencyreport.google.com/political-ads/library/advertiser/AR114793686864232448/creative/CR365722031532015616,Image,"EU, SK",2019-05-14,2019-05-22,CA502105453841350656,9,100k-1M,100,1000
CR415518363398176768,AR114793686864232448,https://transparencyreport.google.com/political-ads/library/advertiser/AR114793686864232448/creative/CR415518363398176768,Image,"EU, SK",2019-08-30,2019-10-10,CA78504855345299456,12,10k-100k,0,100
CR60156205300973568,AR114793686864232448,https://transparencyreport.google.com/political-ads/library/advertiser/AR114793686864232448/creative/CR60156205300973568,Image,"EU, PL, SK",2019-08-30,2019-10-10,CA228249542955368448,12,100k-1M,100,1000
CR524325484327075840,AR116025139887341568,https://transparencyreport.google.com/political-ads/library/advertiser/AR116025139887341568/creative/CR524325484327075840,Image,"EU, RO",2019-05-21,2019-05-22,CA472995883495981056,2,10k-100k,0,100
CR92908732547072000,AR116759338776788992,https://transparencyreport.google.com/political-ads/library/advertiser/AR116759338776788992/creative/CR92908732547072000,Text,US,2018-08-28,2018-11-05,CA168062551328817152,60,≤ 10k,100,1000
CR139332312495030272,AR119011138590474240,https://transparencyreport.google.com/political-ads/library/advertiser/AR119011138590474240/creative/CR139332312495030272,Text,US,2018-09-20,2018-11-01,CA559800952119361536,43,≤ 10k,100,1000
CR240804041599221760,AR119011138590474240,https://transparencyreport.google.com/political-ads/library/advertiser/AR119011138590474240/creative/CR240804041599221760,Text,US,2018-09-20,2018-11-01,CA559800952119361536,43,≤ 10k,100,1000
CR51785348400807936,AR120181018962427904,https://transparencyreport.google.com/political-ads/library/advertiser/AR120181018962427904/creative/CR51785348400807936,Text,US,2018-05-31,2018-10-31,CA167964145038131200,147,≤ 10k,100,1000
CR202055052813139968,AR12050647440424960,https://transparencyreport.google.com/political-ads/library/advertiser/AR12050647440424960/creative/CR202055052813139968,Text,US,2018-08-08,2018-08-10,CA174048292630429696,3,≤ 10k,0,100
CR119352536950898688,AR120847323008860160,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR119352536950898688,Image,US,2018-10-25,2019-04-26,CA61606736015917056,177,100k-1M,100,1000
CR214866699738939392,AR120847323008860160,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR214866699738939392,Image,US,2019-09-27,2019-10-20,CA61606736015917056,24,10k-100k,100,1000
CR262163704236212224,AR120847323008860160,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR262163704236212224,Image,US,2019-02-13,2019-03-05,CA84834468908498944,21,10k-100k,100,1000
CR289370707148668928,AR120847323008860160,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR289370707148668928,Image,US,2019-10-17,2019-10-20,CA285418375163674624,4,100k-1M,100,1000
CR291008842035101696,AR120847323008860160,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR291008842035101696,Image,US,2018-10-04,2018-10-19,CA315487269404278784,16,100k-1M,100,1000
CR356011694591311872,AR120847323008860160,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR356011694591311872,Image,US,2019-04-26,2019-10-20,CA568411777432289280,173,100k-1M,100,1000
CR369018917147901952,AR120847323008860160,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR369018917147901952,Image,US,2019-06-17,2019-07-16,CA568411777432289280,30,10k-100k,100,1000
CR411380901142855680,AR120847323008860160,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR411380901142855680,Image,US,2019-06-17,2019-07-16,CA329046996553826304,30,10k-100k,100,1000
CR412457048148541440,AR120847323008860160,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR412457048148541440,Image,US,2019-04-22,2019-04-23,CA423733639403012096,2,10k-100k,0,100
CR480740018768314368,AR120847323008860160,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR480740018768314368,Image,US,2019-03-15,2019-03-23,CA232140439728160768,9,100k-1M,0,100
CR485335565055557632,AR120847323008860160,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR485335565055557632,Image,US,2019-09-27,2019-10-20,CA358991096224677888,24,10k-100k,100,1000
CR512099464782020608,AR120847323008860160,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR512099464782020608,Image,US,2019-06-25,2019-08-20,CA491715618714681344,57,100k-1M,100,1000
CR527369207390666752,AR120847323008860160,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR527369207390666752,Image,US,2019-04-24,2019-07-16,CA404403125475082240,46,10k-100k,0,100
CR566001922822111232,AR120847323008860160,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR566001922822111232,Image,US,2019-07-16,2019-09-25,CA441607300424138752,66,100k-1M,100,1000
CR570519541222735872,AR120847323008860160,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR570519541222735872,Image,US,2019-02-13,2019-03-05,CA472144036862361600,21,10k-100k,100,1000
CR73772282421444608,AR120847323008860160,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR73772282421444608,Text,US,2019-04-24,2019-08-20,CA12780173405454336,116,100k-1M,100,1000
CR87783908850008064,AR120847323008860160,https://transparencyreport.google.com/political-ads/library/advertiser/AR120847323008860160/creative/CR87783908850008064,Image,US,2018-10-04,2018-10-19,CA315487269404278784,16,100k-1M,100,1000
CR369339974543212544,AR121262938404159488,https://transparencyreport.google.com/political-ads/library/advertiser/AR121262938404159488/creative/CR369339974543212544,Image,US,2019-06-13,2019-06-13,CA422433192025260032,1,10k-100k,0,100
CR413363595485642752,AR121262938404159488,https://transparencyreport.google.com/political-ads/library/advertiser/AR121262938404159488/creative/CR413363595485642752,Image,US,2018-07-18,2018-07-18,CA415685764043505664,1,10k-100k,0,100
CR11218592016105472,AR126746477769785344,https://transparencyreport.google.com/political-ads/library/advertiser/AR126746477769785344/creative/CR11218592016105472,Image,"ES, EU",2019-05-22,2019-05-24,CA143177579535269888,3,10k-100k,0,100
CR270724226892169216,AR128018337845215232,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR270724226892169216,Image,US,2019-05-15,2019-06-05,CA354436644184522752,22,10k-100k,100,1000
CR519794396909010944,AR128018337845215232,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR519794396909010944,Image,US,2019-05-15,2019-05-21,CA372169567717294080,7,10k-100k,100,1000
CR539154597650890752,AR128018337845215232,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR539154597650890752,Image,US,2019-05-15,2019-05-21,CA372169567717294080,7,100k-1M,100,1000
CR288185845930786816,AR132631338879549440,https://transparencyreport.google.com/political-ads/library/advertiser/AR132631338879549440/creative/CR288185845930786816,Image,"EU, LT",2019-03-21,2019-04-11,CA155290074504757248,17,100k-1M,100,1000
CR189387854227439616,AR134039538396823552,https://transparencyreport.google.com/political-ads/library/advertiser/AR134039538396823552/creative/CR189387854227439616,Image,"DE, EU",2019-05-20,2019-05-25,CA484325251308584960,6,10k-100k,0,100
CR271674204938567680,AR134039538396823552,https://transparencyreport.google.com/political-ads/library/advertiser/AR134039538396823552/creative/CR271674204938567680,Image,"DE, EU",2019-05-18,2019-05-25,CA476033834123526144,8,10k-100k,0,100
CR325359921749032960,AR134039538396823552,https://transparencyreport.google.com/political-ads/library/advertiser/AR134039538396823552/creative/CR325359921749032960,Video,"DE, EU",2019-10-07,2019-10-20,CA554661972210089984,14,10k-100k,100,1000
CR338181464279482368,AR134039538396823552,https://transparencyreport.google.com/political-ads/library/advertiser/AR134039538396823552/creative/CR338181464279482368,Image,"DE, EU",2019-05-18,2019-05-25,CA476033834123526144,8,10k-100k,100,1000
CR458409624802951168,AR134039538396823552,https://transparencyreport.google.com/political-ads/library/advertiser/AR134039538396823552/creative/CR458409624802951168,Video,"DE, EU",2019-10-07,2019-10-20,CA400132209995939840,14,10k-100k,100,1000
CR8354364225748992,AR134039538396823552,https://transparencyreport.google.com/political-ads/library/advertiser/AR134039538396823552/creative/CR8354364225748992,Video,"DE, EU",2019-05-13,2019-05-25,CA497425932353536000,13,10k-100k,100,1000
CR356210981073846272,AR137025537099956224,https://transparencyreport.google.com/political-ads/library/advertiser/AR137025537099956224/creative/CR356210981073846272,Text,US,2018-08-21,2018-10-15,CA531503920866918400,56,≤ 10k,100,1000
CR466951318322282496,AR139173707942723584,https://transparencyreport.google.com/political-ads/library/advertiser/AR139173707942723584/creative/CR466951318322282496,Text,US,2019-08-05,2019-08-19,CA259222785509818368,15,≤ 10k,100,1000
CR425000276798210048,AR139371345157816320,https://transparencyreport.google.com/political-ads/library/advertiser/AR139371345157816320/creative/CR425000276798210048,Text,"EU, FI",2019-04-12,2019-04-14,CA483474504186593280,3,≤ 10k,100,1000
CR114503140916592640,AR140403236820484096,https://transparencyreport.google.com/political-ads/library/advertiser/AR140403236820484096/creative/CR114503140916592640,Video,US,2018-09-06,2018-10-16,CA165590849189576704,33,≤ 10k,100,1000
CR143289179965489152,AR140403236820484096,https://transparencyreport.google.com/political-ads/library/advertiser/AR140403236820484096/creative/CR143289179965489152,Text,US,2019-06-04,2019-07-07,CA217780542991499264,32,≤ 10k,100,1000
CR201875832417812480,AR140403236820484096,https://transparencyreport.google.com/political-ads/library/advertiser/AR140403236820484096/creative/CR201875832417812480,Video,US,2018-10-30,2018-11-02,CA537710664005713920,4,≤ 10k,0,100
CR22519097648480256,AR140403236820484096,https://transparencyreport.google.com/political-ads/library/advertiser/AR140403236820484096/creative/CR22519097648480256,Video,US,2018-10-17,2018-11-27,CA44195969390084096,40,≤ 10k,100,1000
CR240799643552710656,AR140403236820484096,https://transparencyreport.google.com/political-ads/library/advertiser/AR140403236820484096/creative/CR240799643552710656,Image,US,2018-10-17,2018-11-06,CA550800349934387200,21,≤ 10k,0,100
